time,observed_ozone_NIWA(DU),modeled_ozone(DU),tsi_impact(DU),halogen_impact(DU),aerosol_impact(DU),QBO_30mb_impact(DU),residual(DU)
Output created in ~tcanty/TOTAL_OZONE on Tue Nov  1 09:37:11 2016
 1995.792   -1.360  -5.430  -2.983 -22.487  -0.095  -0.844   4.070
 1995.875   -1.180  -4.588  -2.713 -22.500  -0.048  -0.307   3.408
 1995.958   -1.160  -4.204  -2.829 -22.510  -0.023   0.179   3.044
 1996.042    0.050  -4.004  -2.829 -22.520  -0.030   0.396   4.054
 1996.125    1.420  -3.863  -2.868 -22.529  -0.060   0.614   5.283
 1996.208   -1.690  -3.657  -3.060 -22.538  -0.048   1.010   1.967
 1996.292   -3.810  -3.448  -2.945 -22.546  -0.100   1.164  -0.362
 1996.375   -4.560  -3.209  -2.906 -22.554  -0.110   1.381  -1.351
 1996.458   -3.680  -3.221  -2.868 -22.560  -0.077   1.304  -0.459
 1996.542   -2.750  -2.827  -2.983 -22.565  -0.048   1.790   0.077
 1996.625   -1.450  -2.406  -2.752 -22.570  -0.058   1.995   0.956
 1996.708   -0.970  -2.162  -2.675 -22.575  -0.026   2.135   1.192
 1996.792   -1.060  -2.555  -2.868 -22.579  -0.044   1.956   1.495
 1996.875   -1.380  -3.654  -3.484 -22.582  -0.051   1.483   2.274
 1996.958   -3.860  -3.542  -2.598 -22.584  -0.055   0.716  -0.318
 1997.042   -3.350  -4.087  -2.598 -22.585  -0.049   0.166   0.737
 1997.125   -4.180  -4.716  -2.713 -22.586  -0.088  -0.307   0.536
 1997.208   -4.390  -4.765  -2.598 -22.586  -0.061  -0.499   0.375
 1997.292   -5.110  -5.252  -2.598 -22.585  -0.088  -0.959   0.142
 1997.375   -8.260  -5.585  -2.444 -22.584  -0.066  -1.470  -2.675
 1997.458   -6.980  -6.113  -2.483 -22.581  -0.033  -1.995  -0.867
 1997.542   -8.050  -6.392  -2.521 -22.579  -0.046  -2.225  -1.658
 1997.625   -8.350  -5.815  -2.290 -22.575  -0.050  -1.880  -2.535
 1997.708   -6.470  -6.138  -2.713 -22.570  -0.005  -1.828  -0.332
 1997.792   -2.860  -4.974  -1.713 -22.565  -0.013  -1.662   2.114
 1997.875   -2.780  -4.907  -2.059 -22.559  -0.015  -1.253   2.127
 1997.958   -2.260  -4.162  -1.905 -22.553  -0.057  -0.627   1.902
 1998.042   -1.750  -3.519  -1.598 -22.546  -0.073  -0.281   1.769
 1998.125   -1.380  -3.191  -1.751 -22.539  -0.072   0.192   1.811
 1998.208    0.410  -3.286  -2.136 -22.530  -0.084   0.486   3.696
 1998.292    0.190  -1.975  -1.097 -22.522  -0.090   0.754   2.165
 1998.375    1.440  -2.067  -1.598 -22.512  -0.075   1.138   3.507
 1998.458    2.020  -1.461  -1.251 -22.502  -0.056   1.368   3.481
 1998.542    1.850  -0.430  -0.520 -22.492  -0.047   1.649   2.280
 1998.625    2.050  -0.848  -1.097 -22.482  -0.051   1.803   2.898
 1998.708    1.930  -1.074  -1.136 -22.470  -0.059   1.611   3.004
 1998.792    1.840  -0.245  -0.135 -22.459  -0.050   1.419   2.085
 1998.875    1.620  -1.012  -0.443 -22.446  -0.088   0.985   2.632
 1998.958   -1.860  -1.297  -0.019 -22.434  -0.054   0.230  -0.563
 1999.042   -4.750  -1.488   0.404 -22.422  -0.104  -0.345  -3.262
 1999.125   -4.180  -2.609  -0.520 -22.409  -0.135  -0.524  -1.571
 1999.208   -3.190  -2.363  -0.096 -22.395  -0.109  -0.742  -0.827
 1999.292   -2.010  -3.222  -0.481 -22.382  -0.073  -1.266   1.212
 1999.375   -1.160  -3.126   0.019 -22.367  -0.019  -1.739   1.966
 1999.458   -0.980  -3.396   0.096 -22.353  -0.073  -2.046   2.416
 1999.542   -1.250  -3.305   0.212 -22.340  -0.060  -2.097   2.055
 1999.625   -0.950  -2.983   0.366 -22.326  -0.033  -1.969   2.033
 1999.708    0.230  -2.342   0.789 -22.310  -0.048  -1.752   2.572
 1999.792    1.340  -3.332  -0.558 -22.296  -0.000  -1.458   4.672
 1999.875    1.920  -2.588  -0.096 -22.279  -0.105  -1.087   4.508
 1999.958   -0.060  -2.280  -0.019 -22.264  -0.055  -0.921   2.220
 2000.042    0.150  -0.720   1.328 -22.249  -0.100  -0.678   0.870
 2000.125    0.420  -0.974   0.982 -22.234  -0.126  -0.575   1.394
 2000.208   -0.190  -1.586   0.404 -22.217  -0.126  -0.627   1.396
 2000.292   -0.310  -0.838   1.059 -22.201  -0.138  -0.537   0.528
 2000.375   -1.160  -1.511  -0.058 -22.183  -0.108  -0.141   0.351
 2000.458   -1.280  -0.717   0.288 -22.167  -0.099   0.281  -0.563
 2000.542   -1.550   0.191   0.789 -22.151  -0.104   0.678  -1.741
 2000.625   -0.650   1.923   2.290 -22.134  -0.108   0.895  -2.573
 2000.708    0.630   0.368   0.597 -22.115  -0.129   1.036   0.262
 2000.792   -1.360   2.038   2.290 -22.099  -0.130   0.997  -3.398
 2000.875   -1.680   1.948   2.059 -22.080  -0.124   1.112  -3.628
 2000.958   -0.460   2.137   2.213 -22.063  -0.105   1.112  -2.597
 2001.042    0.150   1.744   1.559 -22.046  -0.117   1.368  -1.594
 2001.125   -2.180   2.058   1.828 -22.029  -0.166   1.445  -4.238
 2001.208   -0.790   0.660   0.135 -22.010  -0.106   1.662  -1.450
 2001.292    0.590   1.086   0.366 -21.993  -0.069   1.803  -0.496
 2001.375   -0.560   1.452   0.558 -21.974  -0.068   1.956  -2.012
 2001.458   -0.380   1.388   0.520 -21.958  -0.084   1.931  -1.768
 2001.542   -0.650   2.107   1.328 -21.941  -0.113   1.854  -2.757
 2001.625   -1.150   0.783   0.288 -21.924  -0.120   1.560  -1.933
 2001.708   -0.570  -0.397  -0.288 -21.906  -0.102   0.921  -0.173
 2001.792    1.340   1.261   1.675 -21.889  -0.156   0.652   0.079
 2001.875    2.320  -0.466   0.558 -21.871  -0.132  -0.000   2.786
 2001.958    1.740   0.572   1.982 -21.854  -0.075  -0.460   1.168
 2002.042   -0.950   1.991   3.637 -21.837  -0.097  -0.690  -2.941
 2002.125   -1.980   1.179   3.099 -21.821  -0.145  -0.933  -3.159
 2002.208    0.310   0.537   2.444 -21.802  -0.087  -0.997  -0.227
 2002.292    0.690  -1.250   1.059 -21.785  -0.046  -1.458   1.940
 2002.375    0.940  -1.398   1.059 -21.766  -0.033  -1.637   2.338
 2002.458    1.020  -1.451   1.212 -21.749  -0.039  -1.854   2.471
 2002.542    0.250  -3.355  -0.789 -21.732  -0.062  -1.752   3.605
 2002.625    0.350  -2.872  -0.250 -21.715  -0.083  -1.803   3.222
 2002.708   -1.070  -1.993   0.327 -21.696  -0.108  -1.496   0.923
 2002.792    1.340  -1.469   0.597 -21.678  -0.088  -1.279   2.809
 2002.875    2.020  -1.296   0.288 -21.659  -0.035  -0.869   3.316
 2002.958    2.940   0.591   1.559 -21.642  -0.050  -0.256   2.349
 2003.042    1.950   0.073   0.866 -21.624  -0.097  -0.051   1.877
 2003.125    3.320  -0.026   0.674 -21.607  -0.123   0.051   3.346
 2003.208    2.910  -1.103  -0.674 -21.587  -0.141   0.320   4.013
 2003.292    1.890  -0.439  -0.597 -21.570  -0.147   0.895   2.329
 2003.375    0.440  -0.189  -0.750 -21.550  -0.147   1.279   0.629
 2003.458    0.620  -0.418  -1.097 -21.533  -0.148   1.381   1.038
 2003.542    0.750   0.494  -0.520 -21.516  -0.151   1.701   0.256
 2003.625    0.950   0.786  -0.404 -21.498  -0.158   1.867   0.164
 2003.708    0.930   1.053  -0.058 -21.479  -0.168   1.777  -0.123
 2003.792   -1.760  -2.142  -3.137 -21.461  -0.160   1.637   0.382
 2003.875   -1.580   0.186  -0.674 -21.442  -0.135   1.458  -1.766
 2003.958   -2.960  -0.051  -0.327 -21.425  -0.161   0.882  -2.909
 2004.042   -5.350  -1.278  -1.059 -21.408  -0.098   0.307  -4.072
 2004.125   -3.880  -2.007  -1.097 -21.390  -0.128  -0.371  -1.873
 2004.208   -4.190  -2.045  -0.943 -21.371  -0.109  -0.601  -2.145
 2004.292   -3.410  -2.345  -0.789 -21.354  -0.095  -1.087  -1.065
 2004.375   -3.560  -3.281  -1.328 -21.335  -0.076  -1.522  -0.279
 2004.458   -3.780  -3.476  -1.366 -21.318  -0.084  -1.688  -0.304
 2004.542   -4.150  -4.518  -2.367 -21.301  -0.090  -1.739   0.368
 2004.625   -4.550  -3.837  -1.828 -21.284  -0.093  -1.611  -0.713
 2004.708   -4.870  -2.777  -1.059 -21.265  -0.103  -1.330  -2.093
 2004.792   -5.160  -2.641  -0.982 -21.248  -0.100  -1.291  -2.519
 2004.875   -3.880  -2.615  -1.405 -21.229  -0.104  -0.857  -1.265
 2004.958   -1.960  -1.694  -0.827 -21.212  -0.084  -0.550  -0.266
 2005.042   -0.150  -2.719  -2.252 -21.195  -0.098  -0.153   2.569
 2005.125   -1.580  -2.052  -1.713 -21.178  -0.128  -0.013   0.472
 2005.208   -3.690  -2.104  -1.828 -21.159  -0.109   0.013  -1.586
 2005.292   -5.110  -1.473  -1.905 -21.142  -0.095   0.690  -3.637
 2005.375   -3.460  -0.835  -2.021 -21.123  -0.076   1.407  -2.625
 2005.458   -2.280  -0.711  -2.175 -21.107  -0.084   1.675  -1.569
 2005.542   -1.550  -0.367  -1.982 -21.090  -0.090   1.816  -1.183
 2005.625   -1.250   0.095  -1.713 -21.073  -0.093   1.995  -1.345
 2005.708   -2.370  -0.064  -2.213 -21.054  -0.103   2.327  -2.306
 2005.792   -3.460   0.495  -1.867 -21.037  -0.100   2.519  -3.955
 2005.875   -4.580   0.240  -2.290 -21.018  -0.104   2.672  -4.820
 2005.958   -1.560   0.175  -2.021 -21.000  -0.084   2.302  -1.735
 2006.042   -5.750  -0.166  -1.828 -20.983  -0.098   1.765  -5.584
 2006.125   -6.980  -0.997  -1.944 -20.965  -0.128   1.061  -5.983
 2006.208   -5.190  -2.314  -2.252 -20.945  -0.109   0.013  -2.876
